Date,Actual,SMA,Close,Vote_Score,Position,Strat_Ret
2024-03-09,0.009362842188647231,50647.461599999995,68313.27,-3,-1.0,-0.009362842188647231
2024-03-10,0.044283373561153284,51192.6584,68955.88,1,1.0,0.044283373561153284
2024-03-11,-0.008724217811494954,51802.6138,72078.1,-3,-1.0,0.008724217811494954
2024-03-12,0.022424831790492365,52440.293600000005,71452.01,-1,0.0,0.0
2024-03-13,-0.02330791194500903,53103.7898,73072.41,-3,-1.0,0.02330791194500903
2024-03-14,-0.02681836109117046,53729.87100000001,71388.94,-3,-1.0,0.02681836109117046
2024-03-15,-0.062322910279710986,54320.64619999999,69499.85,1,1.0,-0.062322910279710986
2024-03-16,0.046275814432356635,54790.1886,65300.63,-3,-1.0,-0.046275814432356635
2024-03-17,-0.01152174525222046,55315.6456,68393.48,-1,0.0,-0.0
2024-03-18,-0.08763155563733493,55827.2242,67609.99,-3,-1.0,0.08763155563733493
2024-03-19,0.09103531158594273,56199.91819999999,61937.4,-3,-1.0,-0.09103531158594273
2024-03-20,-0.03508997737785613,56697.9064,67840.51,-1,0.0,-0.0
2024-03-21,-0.026369007379098856,57156.3318,65501.27,-1,0.0,-0.0
2024-03-22,0.003026453038660462,57570.6058,63796.64,-1,0.0,0.0
2024-03-23,0.04909491976870599,57986.405999999995,63990.01,-1,0.0,0.0
2024-03-24,0.038957731173826136,58470.384000000005,67209.99,1,1.0,0.038957731173826136
2024-03-25,0.0015441704140665396,59016.3266,69880.01,-1,0.0,0.0
2024-03-26,-0.007428938024621631,59561.912599999996,69988.0,-3,-1.0,0.007428938024621631
2024-03-27,0.01869009109453202,60089.33340000001,69469.99,-3,-1.0,-0.01869009109453202
2024-03-28,-0.01322713532737063,60617.9534,70780.6,1,1.0,-0.01322713532737063
2024-03-29,-0.0038493164497219014,61109.1912,69850.54,1,1.0,-0.0038493164497219014
2024-03-30,0.024107423379159526,61558.1794,69582.18,-1,0.0,0.0
2024-03-31,-0.02313609473301786,62028.75779999999,71280.01,-1,0.0,-0.0
2024-04-01,-0.06197960825197718,62455.754,69649.8,-3,-1.0,0.06197960825197718
2024-04-02,0.007598003093028574,62766.6884,65463.99,1,1.0,0.007598003093028574
2024-04-03,0.03755725764251874,63091.96220000001,65963.28,1,1.0,0.03755725764251874
2024-04-04,-0.009789202703133824,63425.8146,68487.79,1,1.0,-0.009789202703133824
2024-04-05,0.015731842680183246,63744.62699999999,67820.62,1,1.0,0.015731842680183246
2024-04-06,0.006717834111896003,64080.06479999999,68896.0,1,1.0,0.006717834111896003
2024-04-07,0.03205840927643814,64434.419799999996,69360.39,-1,0.0,0.0
2024-04-08,-0.03515415339654028,64824.066399999996,71620.0,1,1.0,-0.03515415339654028
2024-04-09,0.02125006308303191,65171.491799999996,69146.0,1,1.0,0.02125006308303191
2024-04-10,-0.00888603616768445,65538.937,70631.08,1,1.0,-0.00888603616768445
2024-04-11,-0.04215402471169341,65902.0738,70006.23,-1,0.0,-0.0
2024-04-12,-0.04872735746222276,66218.6358,67116.52,1,1.0,-0.04872735746222276
2024-04-13,0.026815078915186055,66482.243,63924.51,1,1.0,0.026815078915186055
2024-04-14,-0.03473882339914055,66764.1154,65661.84,-1,0.0,-0.0
2024-04-15,0.005870468536476564,66997.93819999999,63419.99,-1,0.0,0.0
2024-04-16,-0.040238973210926274,67184.2766,63793.39,1,1.0,-0.040238973210926274
2024-04-17,0.035158006998813135,67269.0772,61277.37,-3,-1.0,-0.035158006998813135
2024-04-18,0.005466825160537417,67289.8368,63470.08,-3,-1.0,-0.005466825160537417
2024-04-19,0.01743741302682119,67343.57740000001,63818.01,-1,0.0,0.0
2024-04-20,8.623229100669178e-06,67394.63119999999,64940.59,1,1.0,8.623229100669178e-06
2024-04-21,0.028510785110948657,67453.7086,64941.15,-1,0.0,0.0
2024-04-22,-0.006084382651452649,67527.8156,66819.32,-1,0.0,-0.0
2024-04-23,-0.03251015685090299,67491.1814,66414.0,-1,0.0,-0.0
2024-04-24,0.0032417662557915235,67502.493,64289.59,-1,0.0,0.0
2024-04-25,-0.011356469895713836,67470.979,64498.34,-1,0.0,-0.0
2024-04-26,-0.004842030716018614,67409.9158,63770.01,-1,0.0,-0.0
2024-04-27,-0.005425173243951366,67316.6716,63461.98,1,1.0,-0.005425173243951366
2024-04-28,0.01177132522006203,67212.7786,63118.62,-1,0.0,0.0
2024-04-29,-0.051304831768252054,67110.981,63866.0,1,1.0,-0.051304831768252054
2024-04-30,-0.03876642553474422,66882.859,60672.0,-1,0.0,-0.0
2024-05-01,0.011848323644138173,66621.1182,58364.97,-1,0.0,0.0
2024-05-02,0.06269590851696512,66340.88220000001,59060.61,-3,-1.0,-0.06269590851696512
2024-05-03,0.01593467072506892,66170.74359999999,62882.01,1,1.0,0.01593467072506892
2024-05-04,0.0018757817997593531,66058.5874,63892.04,3,1.0,0.0018757817997593531
2024-05-05,-0.013317207511333138,66032.8148,64012.0,-1,0.0,-0.0
2024-05-06,-0.013598050793730939,65928.249,63165.19,-1,0.0,-0.0
2024-05-07,-0.018122013335120257,65822.2908,62312.08,-1,0.0,-0.0
2024-05-08,0.030275504659909153,65807.40340000001,61193.03,-1,0.0,0.0
2024-05-09,-0.03671917430504504,65712.0734,63074.01,-1,0.0,-0.0
2024-05-10,0.0004275402409262431,65618.0478,60799.99,-3,-1.0,-0.0004275402409262431
2024-05-11,0.01075965097938284,65558.6348,60825.99,1,1.0,0.01075965097938284
2024-05-12,0.023406346968515828,65508.51440000001,61483.99,-3,-1.0,-0.023406346968515828
2024-05-13,-0.021886781008613777,65423.11619999999,62940.08,-1,0.0,-0.0
2024-05-14,0.07248226375544757,65257.065800000004,61577.49,1,1.0,0.07248226375544757
2024-05-15,-0.014779291590717515,65181.4358,66206.5,-3,-1.0,0.014779291590717515
2024-05-16,0.027051410361314365,65096.74019999999,65235.21,-3,-1.0,-0.027051410361314365
2024-05-17,-0.0016246180943355483,65021.6082,67024.0,1,1.0,-0.0016246180943355483
2024-05-18,-0.00962833180615985,64962.9014,66915.2,1,1.0,-0.00962833180615985
2024-05-19,0.07515278314448008,64896.738,66274.01,-1,0.0,0.0
2024-05-20,-0.018338454758227797,64900.0702,71446.62,-1,0.0,-0.0
2024-05-21,-0.014093766386815483,64910.041,70148.34,1,1.0,-0.014093766386815483
2024-05-22,-0.017457094288918538,64984.0936,69166.62,-3,-1.0,0.017457094288918538
2024-05-23,0.008501978114690344,65024.221,67969.65,-1,0.0,0.0
2024-05-24,0.01074556177134258,65025.465,68549.99,1,1.0,0.01074556177134258
2024-05-25,-0.011363112097898122,65054.864,69290.57,-1,0.0,-0.0
